Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
2.34,-29.3701,-76.8428,96.78299999999999,0.003,-34.6471,180.011,4099.675669265839
2.352,-29.3701,-77.1397,95.4731,0.003,-34.7916,180.011,4713.85180925576
2.364,-29.3701,-77.4466,94.1188,0.003,-34.9408,180.011,5306.142550299129
2.376,-29.3701,-77.7625,92.7249,0.003,-35.0944,180.011,5977.03770438946
2.388,-29.3701,-78.0865,91.2953,0.003,-35.2519,180.011,6150.119143742328
2.4,-29.3701,-78.4173,89.8362,0.003,-35.4126,180.011,6407.6094041517
2.412,-29.3701,-78.7545,88.3483,0.003,-35.5764,180.011,6101.342135996631
2.424,-29.3701,-79.0974,86.8358,0.003,-35.7431,180.011,5392.94846970405
2.436,-29.3701,-79.4449,85.3025,0.003,-35.912,180.011,4854.78606473612
2.448,-29.3701,-79.7969,83.7493,0.003,-36.083,180.011,5396.093036279829
2.46,-29.3701,-80.1527,82.1795,0.00299999,-36.256,180.011,8152.882105136404
2.472,-29.3701,-80.5114,80.5967,0.00300004,-36.4303,180.011,7869.376115452236
2.484,-29.3702,-80.8729,79.0019,0.00299983,-36.606,180.011,6855.934591696317
2.496,-29.3706,-81.2364,77.3982,0.00300068,-36.7826,180.011,7995.694870470695
2.508,-29.3722,-81.6015,75.7874,0.00299732,-36.9601,180.011,7971.062609639407
2.52,-29.3766,-81.9674,74.173,0.00301035,-37.1379,180.011,6041.711836934633
2.532,-29.3855,-82.3338,72.5565,0.00292932,-37.3159,180.011,5403.593862809489
2.544,-29.4017,-82.7003,70.9397,0.00289245,-37.4941,180.011,5605.119527157582
2.556,-29.4281,-83.0662,69.3253,0.00290218,-37.6719,180.011,3811.946968181296
2.568,-29.4687,-83.431,67.7156,0.00289937,-37.8492,180.011,4382.835139383407
2.58,-29.5279,-83.7943,66.1127,0.00290018,-38.0258,180.011,5876.627611410056
2.592,-29.6108,-84.1553,64.52,0.00289995,-38.2012,180.011,5043.742939776726
2.6039999999999996,-29.7231,-84.5136,62.9395,0.00290001,-38.3753,180.011,5494.683412959999
2.616,-29.8711,-84.8685,61.3734,0.0029,-38.5478,180.011,6158.649796354116
2.628,-30.0608,-85.2193,59.8253,0.0029,-38.7184,180.011,4003.9842887957325
2.64,-30.2987,-85.5656,58.2976,0.0029,-38.8866,180.011,3643.4707248173
2.6519999999999997,-30.5909,-85.9064,56.7942,0.0029,-39.0522,180.011,3353.0663545550947
2.6639999999999997,-30.9439,-86.2409,55.3185,0.0029,-39.2148,180.011,2153.1378577393625
2.676,-31.3646,-86.5684,53.8737,0.0029,-39.3739,180.011,2433.696832808063
2.688,-31.8594,-86.8877,52.4647,0.0029,-39.5291,180.011,3146.553050542564
2.7,-32.4344,-87.1975,51.0976,0.0029,-39.6797,180.011,2604.103197242869
2.7119999999999997,-33.0952,-87.4966,49.7782,0.0029,-39.8251,180.011,3530.2471696837765
2.7239999999999998,-33.8453,-87.7829,48.5148,0.0029,-39.9642,180.011,3424.9544717125596
2.736,-34.6879,-88.0549,47.315,0.0029,-40.0963,180.011,2245.1958551889325
2.748,-35.6227,-88.3103,46.1882,0.0029,-40.2205,180.011,2340.23854505103
2.76,-36.6473,-88.5472,45.1432,0.0029,-40.3356,180.011,1596.0219963116042
2.772,-37.7565,-88.764,44.1868,0.0029,-40.441,180.011,1134.538261996317
2.784,-38.9445,-88.9597,43.3229,0.0029,-40.5362,180.011,1361.4259114236959
2.7960000000000003,-40.2029,-89.1341,42.5532,0.0029,-40.6209,180.011,1747.2837682969243
2.8080000000000003,-41.5251,-89.2877,41.8759,0.0029,-40.6955,180.011,1802.3212789662794
2.82,-42.9021,-89.4209,41.288000000000004,0.0029,-40.7603,180.011,2497.7166410364216
2.832,-44.3285,-89.5353,40.7834,0.0029,-40.8159,180.011,2867.8425563963997
2.844,-45.7984,-89.6324,40.3548,0.0029,-40.8631,180.011,2947.5860964446356
2.8560000000000003,-47.3058,-89.714,39.9948,0.0029,-40.9027,180.011,3262.6617298944648
2.8680000000000003,-48.8465,-89.7819,39.6956,0.0029,-40.9357,180.011,3471.548142544464
2.88,-50.4158,-89.8374,39.4506,0.0029,-40.9626,180.011,3031.0378592813445
2.892,-52.0106,-89.8822,39.253,0.0029,-40.9844,180.011,2848.1606572957944
2.904,-53.6273,-89.9176,39.0966,0.0029,-41.0016,180.011,3068.9799929536343
