,Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
185,2.2319999999999998,-29.3702,-74.5353,106.016,0.00290453,-35.3531,180.012,1459.8393090926024
186,2.244,-29.3702,-74.7807,105.208,0.00300811,-35.0057,180.012,1547.0952971568458
187,2.256,-29.3702,-75.031,104.329,0.00299729,-34.7218,180.012,1946.98925278865
188,2.2680000000000002,-29.3702,-75.285,103.384,0.00300068,-34.5096,180.012,2347.5252523361546
189,2.28,-29.3702,-75.5409,102.381,0.00299987,-34.3738,180.012,2901.014117961924
190,2.292,-29.3702,-75.7981,101.325,0.00300002,-34.3146,180.012,3389.067359260269
191,2.3040000000000003,-29.3701,-76.0563,100.229,0.003,-34.3291,180.011,3802.8610238107326
192,2.316,-29.3701,-76.3188,99.0894,0.003,-34.4063,180.011,4136.392888560957
193,2.3280000000000003,-29.3701,-76.5916,97.8913,0.003,-34.5253,180.011,3936.013743699736
194,2.34,-29.3701,-76.87899999999999,96.6234,0.003,-34.6648,180.011,4211.492679786787
195,2.352,-29.3701,-77.1782,95.303,0.003,-34.8104,180.011,5086.836995335766
196,2.364,-29.3701,-77.4874,93.939,0.003,-34.9606,180.011,5656.201637242344
197,2.376,-29.3701,-77.8048,92.5384,0.003,-35.1149,180.011,6051.271194724332
198,2.388,-29.3701,-78.1297,91.1049,0.003,-35.2728,180.011,6180.519326778714
199,2.4,-29.3701,-78.4613,89.64200000000001,0.003,-35.434,180.011,6433.359320375485
200,2.412,-29.3701,-78.79899999999999,88.1521,0.003,-35.598,180.011,5925.123033208815
201,2.424,-29.3701,-79.142,86.639,0.003,-35.7648,180.011,4935.918266187232
202,2.436,-29.3701,-79.4898,85.1044,0.003,-35.9338,180.011,4983.941678083448
203,2.448,-29.3701,-79.8415,83.5527,0.003,-36.1047,180.011,6618.468860535253
204,2.46,-29.3701,-80.1968,81.985,0.003,-36.2774,180.011,8638.752726481283
205,2.472,-29.3701,-80.555,80.4044,0.00300001,-36.4515,180.011,7100.091334200617
206,2.484,-29.3702,-80.9156,78.8134,0.00299991,-36.6268,180.011,7242.769745453385
207,2.496,-29.3707,-81.2782,77.214,0.00300045,-36.8029,180.011,8080.786181309869
208,2.508,-29.3726,-81.6423,75.6077,0.00299801,-36.9799,180.011,6961.986300540646
209,2.52,-29.3773,-82.007,73.9983,0.00300839,-37.1571,180.011,5548.062290093305
